age,type_employer,education,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
Adult,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,None,Motivated,United-States,High
Child,Private,11th,Never-married,Adm-clerical,Not-in-family,White,Male,None,None,Working,United-States,Low
Senior,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Lazy,United-States,Low
YoungAdult,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Working,United-States,Low
Adult,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,None,None,Working,United-States,Low
Adult,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,None,None,Working,United-States,Low
Adult,Private,Some-college,Divorced,Sales,Unmarried,White,Female,None,None,Motivated,United-States,Low
YoungAdult,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Female,None,None,Working,United-States,Low
Child,Private,11th,Never-married,Craft-repair,Own-child,White,Male,None,None,Lazy,United-States,Low
YoungAdult,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,None,None,Motivated,United-States,Low
Adult,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,High,None,Working,United-States,High
YoungAdult,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Motivated,United-States,High
Adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Private,HS-grad,Never-married,Protective-serv,Own-child,Black,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Self-emp-not-inc,Bachelors,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,None,High,Motivated,United-States,Low
Adult,Private,5th-6th,Divorced,Machine-op-inspct,Not-in-family,White,Female,None,None,Working,Puerto-Rico,Low
Adult,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Female,None,None,Motivated,United-States,Low
Senior,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Working,United-States,Low
Adult,Self-emp-not-inc,HS-grad,Widowed,Craft-repair,Not-in-family,White,Male,None,None,Motivated,United-States,High
Adult,Self-emp-not-inc,Prof-school,Married-civ-spouse,Sales,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,None,None,Motivated,United-States,High
YoungAdult,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,None,None,Motivated,United-States,High
Adult,Private,HS-grad,Divorced,Protective-serv,Not-in-family,Black,Male,None,None,Working,United-States,Low
Senior,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,Lazy,United-States,Low
YoungAdult,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Motivated,United-States,High
YoungAdult,Private,11th,Never-married,Handlers-cleaners,Other-relative,Black,Male,None,None,Working,United-States,Low
YoungAdult,Private,12th,Married-civ-spouse,Other-service,Wife,White,Female,None,None,Working,United-States,Low
Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,None,Motivated,United-States,High
YoungAdult,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Motivated,United-States,High
Adult,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Working,United-States,Low
Adult,Private,Assoc-voc,Separated,Other-service,Unmarried,White,Female,None,None,Working,United-States,Low
Senior,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Working,United-States,Low
Adult,Private,Assoc-voc,Divorced,Machine-op-inspct,Not-in-family,White,Male,None,None,Working,United-States,Low
Adult,Local-gov,HS-grad,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,None,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Never-married,Exec-managerial,Other-relative,White,Female,None,High,Motivated,United-States,Low
Adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Working,United-States,Low
Adult,Federal-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,None,None,Motivated,United-States,High
YoungAdult,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,None,None,Working,United-States,Low
Child,Local-gov,12th,Never-married,Protective-serv,Own-child,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Sales,Not-in-family,Black,Male,None,None,Working,United-States,Low
YoungAdult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,None,None,HardWorking,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Motivated,United-States,High
YoungAdult,Federal-gov,HS-grad,Separated,Exec-managerial,Unmarried,Black,Female,None,None,Working,United-States,Low
Senior,Private,Assoc-voc,Widowed,Adm-clerical,Unmarried,White,Female,None,None,Lazy,United-States,Low
YoungAdult,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Black,Male,None,None,Working,United-States,High
YoungAdult,Private,Some-college,Married-spouse-absent,Sales,Not-in-family,White,Male,None,None,Motivated,United-States,Low
Adult,Private,HS-grad,Widowed,Machine-op-inspct,Unmarried,White,Male,Low,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,None,None,Motivated,United-States,Low
YoungAdult,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,HardWorking,United-States,High
YoungAdult,Private,Some-college,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,None,None,Working,United-States,Low
Adult,Local-gov,Assoc-voc,Divorced,Adm-clerical,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Other-service,Own-child,White,Female,None,None,Working,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,None,Working,United-States,Low
Adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Adm-clerical,Unmarried,Other,Female,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Farming-fishing,Own-child,White,Male,None,None,Motivated,United-States,Low
Adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,Motivated,United-States,High
YoungAdult,Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,Working,United-States,Low
Adult,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,High,None,Working,India,Low
Adult,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,High,None,Lazy,United-States,Low
YoungAdult,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,None,None,Lazy,United-States,High
YoungAdult,Private,9th,Never-married,Machine-op-inspct,Unmarried,Black,Female,None,None,Working,Haiti,Low
Adult,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,None,None,Motivated,United-States,Low
Adult,Federal-gov,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,None,None,Lazy,United-States,Low
YoungAdult,Private,Some-college,Never-married,Sales,Own-child,Black,Male,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,State-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,None,None,Lazy,United-States,Low
YoungAdult,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,None,None,HardWorking,United-States,Low
Adult,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,None,Motivated,United-States,High
Adult,Private,11th,Divorced,Machine-op-inspct,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,High,None,Motivated,United-States,High
YoungAdult,Private,10th,Never-married,Sales,Unmarried,Black,Female,None,None,Working,United-States,Low
YoungAdult,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,None,None,HardWorking,United-States,High
Adult,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,None,None,Motivated,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Working,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Motivated,United-States,High
YoungAdult,Private,1st-4th,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Female,None,None,Working,Dominican-Republic,Low
YoungAdult,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Motivated,United-States,Low
Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,None,Motivated,United-States,High
Adult,Private,1st-4th,Divorced,Craft-repair,Unmarried,White,Male,None,None,Working,Portugal,Low
Adult,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Motivated,United-States,High
Adult,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Motivated,United-States,High
Adult,Private,HS-grad,Divorced,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,None,None,Working,Philippines,Low
Senior,Self-emp-not-inc,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,Low,None,Lazy,United-States,Low
YoungAdult,Private,Masters,Never-married,Exec-managerial,Not-in-family,Black,Male,High,None,Motivated,United-States,High
YoungAdult,Private,Assoc-acdm,Divorced,Handlers-cleaners,Unmarried,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,10th,Never-married,Craft-repair,Own-child,Black,Female,None,None,Working,United-States,Low
YoungAdult,Private,Assoc-voc,Divorced,Prof-specialty,Not-in-family,White,Female,High,None,Motivated,United-States,High
Adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Motivated,United-States,High
Adult,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,None,None,Motivated,United-States,Low
Adult,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,None,None,Working,United-States,Low
Adult,State-gov,Assoc-voc,Divorced,Tech-support,Unmarried,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,None,None,Motivated,United-States,High
Child,Private,10th,Never-married,Handlers-cleaners,Own-child,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Other,Male,None,None,Working,United-States,Low
Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,Motivated,United-States,High
YoungAdult,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,None,None,Working,United-States,Low
Adult,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Working,United-States,Low
Child,Private,11th,Never-married,Sales,Other-relative,Amer-Indian-Eskimo,Female,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,None,None,Working,United-States,Low
YoungAdult,State-gov,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Machine-op-inspct,Other-relative,White,Male,None,None,Motivated,United-States,Low
Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Working,United-States,High
Senior,Private,Prof-school,Widowed,Adm-clerical,Not-in-family,Black,Female,None,None,Lazy,United-States,Low
YoungAdult,Private,5th-6th,Never-married,Transport-moving,Not-in-family,White,Male,None,None,Working,Mexico,Low
YoungAdult,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Self-emp-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,None,Working,United-States,Low
Adult,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Private,Masters,Never-married,Sales,Not-in-family,White,Male,None,None,Lazy,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Female,None,None,Working,United-States,Low
Adult,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Motivated,United-States,High
Adult,Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,HardWorking,United-States,Low
Adult,Federal-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,None,Working,United-States,High
YoungAdult,Private,Assoc-voc,Divorced,Craft-repair,Not-in-family,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,None,None,Motivated,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Motivated,United-States,Low
Adult,Federal-gov,11th,Never-married,Tech-support,Not-in-family,White,Male,None,High,Working,United-States,Low
YoungAdult,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,High,None,Working,United-States,High
Adult,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,Motivated,United-States,High
Adult,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,Lazy,United-States,Low
YoungAdult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,None,None,Working,United-States,High
YoungAdult,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Working,United-States,Low
Adult,Local-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,None,None,Motivated,United-States,Low
YoungAdult,Self-emp-inc,Some-college,Never-married,Adm-clerical,Own-child,White,Female,None,None,Motivated,United-States,Low
Adult,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,High,None,Working,United-States,High
YoungAdult,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,None,None,Working,United-States,Low
Adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Working,United-States,Low
Adult,Self-emp-not-inc,HS-grad,Widowed,Other-service,Not-in-family,White,Female,None,None,Working,Nicaragua,Low
Adult,Private,7th-8th,Married-civ-spouse,Sales,Husband,Other,Male,None,None,Motivated,Dominican-Republic,Low
YoungAdult,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,High,None,Motivated,United-States,Low
YoungAdult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Adm-clerical,Own-child,Black,Female,None,None,Working,United-States,Low
Adult,Private,Masters,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Working,Iran,High
YoungAdult,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,None,None,Working,Vietnam,Low
YoungAdult,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,Bachelors,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,None,None,Working,Hong,Low
Child,Private,HS-grad,Never-married,Sales,Own-child,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Widowed,Adm-clerical,Unmarried,White,Female,None,None,Working,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Motivated,Columbia,Low
Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Motivated,United-States,High
YoungAdult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,None,None,Working,United-States,Low
Adult,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,White,Female,None,None,Working,United-States,Low
Adult,State-gov,Assoc-voc,Divorced,Prof-specialty,Unmarried,White,Female,None,None,Motivated,United-States,High
YoungAdult,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,High,None,Working,United-States,High
Senior,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,HardWorking,United-States,High
YoungAdult,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,None,None,HardWorking,Mexico,Low
YoungAdult,Self-emp-not-inc,Some-college,Separated,Other-service,Own-child,White,Female,None,None,Working,Cuba,Low
Adult,Private,Some-college,Widowed,Exec-managerial,Not-in-family,White,Female,None,None,Working,United-States,High
Adult,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,High,None,Working,United-States,High
Adult,Private,1st-4th,Never-married,Sales,Own-child,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,7th-8th,Never-married,Other-service,Not-in-family,White,Male,None,None,Working,Mexico,Low
YoungAdult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Adm-clerical,Unmarried,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Farming-fishing,Not-in-family,White,Female,None,None,Motivated,United-States,Low
Senior,Private,Some-college,Widowed,Tech-support,Unmarried,White,Female,None,None,Working,United-States,Low
YoungAdult,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Working,El-Salvador,Low
Adult,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Working,United-States,Low
Senior,Local-gov,Bachelors,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,None,None,Working,United-States,High
Senior,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Lazy,United-States,Low
YoungAdult,Federal-gov,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,None,None,Working,United-States,Low
Adult,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Male,None,None,Motivated,United-States,Low
Adult,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,High,None,Motivated,United-States,High
Adult,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Motivated,United-States,Low
Senior,Private,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Working,United-States,Low
Senior,Self-emp-not-inc,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Lazy,United-States,Low
Adult,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,High,None,HardWorking,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,High,None,Motivated,United-States,High
Child,Private,Some-college,Divorced,Other-service,Own-child,White,Male,None,None,Lazy,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,None,None,Motivated,United-States,Low
Adult,Self-emp-not-inc,HS-grad,Divorced,Farming-fishing,Not-in-family,White,Male,None,None,Working,United-States,Low
YoungAdult,State-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,None,None,Motivated,United-States,Low
Adult,Self-emp-not-inc,10th,Divorced,Sales,Own-child,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,High,None,Working,United-States,Low
Adult,Federal-gov,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,Working,United-States,Low
Child,Private,11th,Never-married,Other-service,Own-child,White,Male,None,None,Lazy,United-States,Low
YoungAdult,Private,Some-college,Never-married,Other-service,Own-child,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,None,None,Working,United-States,Low
YoungAdult,Local-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,None,None,Motivated,United-States,Low
Adult,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,High,None,Motivated,United-States,High
Adult,Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,None,None,Working,United-States,Low
Adult,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,None,None,Motivated,United-States,High
YoungAdult,Private,Some-college,Never-married,Machine-op-inspct,Other-relative,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,High,None,Working,United-States,High
YoungAdult,Private,11th,Never-married,Craft-repair,Own-child,White,Male,None,None,Working,United-States,Low
Senior,Private,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Female,None,None,Working,United-States,Low
Adult,State-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,None,None,Lazy,United-States,High
Adult,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,None,None,Motivated,United-States,High
YoungAdult,Local-gov,Some-college,Never-married,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,High,None,Working,United-States,Low
YoungAdult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,None,None,Motivated,United-States,High
YoungAdult,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,None,None,Working,Mexico,Low
YoungAdult,Private,HS-grad,Never-married,Exec-managerial,Own-child,White,Female,None,None,Working,United-States,Low
Adult,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,High,None,Motivated,United-States,High
YoungAdult,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,Working,United-States,High
YoungAdult,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,None,None,Working,United-States,High
YoungAdult,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Other-service,Own-child,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,None,None,Working,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Priv-house-serv,Other-relative,Black,Female,None,None,Lazy,United-States,Low
Senior,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,High,None,Motivated,United-States,Low
Adult,Self-emp-inc,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,None,None,Working,United-States,High
Adult,Private,HS-grad,Divorced,Sales,Other-relative,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,High,None,Motivated,United-States,High
Adult,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,None,Working,United-States,High
Adult,State-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,None,None,Working,United-States,Low
Adult,Private,HS-grad,Divorced,Other-service,Unmarried,Black,Male,None,None,Working,United-States,Low
YoungAdult,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,High,Working,United-States,Low
Adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,High,None,Working,United-States,High
YoungAdult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,None,None,Working,United-States,Low
Adult,Private,Some-college,Divorced,Exec-managerial,Other-relative,White,Female,Low,None,Lazy,United-States,Low
Adult,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,9th,Never-married,Machine-op-inspct,Own-child,White,Female,None,None,Lazy,Nicaragua,Low
Adult,Private,Assoc-voc,Divorced,Sales,Not-in-family,White,Male,None,None,Motivated,United-States,Low
Adult,Self-emp-not-inc,7th-8th,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,None,Motivated,Greece,High
Adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,HardWorking,United-States,High
Senior,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Other-service,Own-child,White,Female,None,None,Working,Mexico,Low
Adult,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,Motivated,United-States,High
YoungAdult,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Separated,Exec-managerial,Not-in-family,Black,Male,None,None,Working,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Motivated,United-States,High
Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Motivated,United-States,High
